Current Price|Likes|Item|Title|Old Price|Discount|Brand|Link
60 грн|4|Пробник парфюмированная вода prada candy|Пробник парфюмированная вода prada candy|||Prada|https://shafa.ua/cosmetics/parfyumeriya/probniki/99695182-probnik-parfyumirovannaya-voda-prada-candy
90 грн|6|Коллагеновые патчи под глаза wilma schumann collagen eye pads|Коллагеновые патчи под глаза wilma schumann collagen eye pads|100 грн|-10%||https://shafa.ua/cosmetics/dlya-lica/maski/84665689-kollagenovye-patchi-pod-glaza-wilma-schumann-collagen-eye-pads
65 грн|9|Ниша! пробник парфюмированная вода tocca giulietta|Ниша! пробник парфюмированная вода tocca giulietta||||https://shafa.ua/cosmetics/parfyumeriya/probniki/94786767-nisha-probnik-parfyumirovannaya-voda-tocca-giulietta
745 грн|5|Пилинг для лица symbiosis london r+aha rose + glycolic acid rejuvenating gentle face exfoliator|Пилинг для лица symbiosis london r+aha rose + glycolic acid rejuvenating gentle face exfoliator||||https://shafa.ua/cosmetics/dlya-lica/ochishcheniya-lica/99009415-piling-dlya-lica-symbiosis-london-raha-rose-glycolic-acid
75 грн|5|Пробники тона nars soft matte complete foundation|Пробники тона nars soft matte complete foundation|||Nars|https://shafa.ua/cosmetics/dekorativnaya/dlya-lica/tonalnyj-krem/99695872-probniki-tona-nars-soft-matte-complete-foundation
55 грн|4|Увляжняющий крем для кучерявых волос kerastase curl manifesto creme|Увляжняющий крем для кучерявых волос kerastase curl manifesto creme|||Kerastase|https://shafa.ua/cosmetics/dlya-volos/sredstva-dlya-zashchity/99696361-uvlyazhnyayushiy-krem-dlya-k-kucheryavyh-volos-kerastase-curl
150 грн|20|Сияющий солнцезащитный крем для лица cay skin isle glow face lotion spf 45|Сияющий солнцезащитный крем для лица cay skin isle glow face lotion spf 45||||https://shafa.ua/cosmetics/dlya-lica/krem/94727837-siyayushiy-solncezashitnyy-krem-dlya-lica-cay-skin-isle-glow-face
1535 грн|14|Палетка теней viseart eye shadow palette 01 neutral matte|Палетка теней viseart eye shadow palette 01 neutral matte|||viseart|https://shafa.ua/cosmetics/dekorativnaya/dlya-glaz/teni/81616126-paletka-tenyay-viseart-eye-shadow-palette-01-neutral-matte
200 грн|3|Сыворотка с молочной кислотой sunday riley good genes all-in-one lactic acid treatment|Сыворотка с молочной кислотой sunday riley good genes all-in-one lactic acid treatment|||Sunday Riley|https://shafa.ua/cosmetics/dlya-lica/sivorotki/99500609-syvorotka-s-molochnoy-kislotoy-sunday-riley-good-genes-all-in-one
150 грн|21|Солнцезащитный крем для лица supergoop unseen sunscreen spf 40|Солнцезащитный крем для лица supergoop unseen sunscreen spf 40|||Supergoop|https://shafa.ua/cosmetics/dlya-lica/krem/96820280-solncezashitnyy-krem-dlya-lica-supergoop-unseen-sunscreen-spf-40
